#,CATEGORY,NARRATION_RAW,BANK_FORMAT,TXN_TYPE,RISK_LEVEL
39,PAYMENT_GATEWAY,NEFT/131033623315/PAYTM PAYMENT GATEWAY/SETTLE,NEFT,CR,MEDIUM
40,PAYMENT_GATEWAY,JUSPAY ROUTER 973715380239 TXN,MIXED,DR/CR,MEDIUM
41,AEPS,AEPS/303389656053/AADHAAR PAY/8736512872,MIXED,DR/CR,HIGH
42,AEPS,AEPS WD 183948682205 MICRO ATM,ATM,CR,HIGH
43,AEPS,AADHARPAY/166597843026/9945769746,MIXED,DR/CR,HIGH
44,AEPS,NPCI AEPS/710283369166/CASH WD,MIXED,DR/CR,HIGH
45,AEPS,AEPS CASH OUT 897552307650 9905971584,MIXED,DR/CR,HIGH
46,AEPS,BC AGENT/176079605774/AEPS/WDL,ATM,DR,HIGH
47,AEPS,BANK MITRA AEPS 142645492920 CASH,MIXED,DR/CR,HIGH
48,AEPS,CSP/893131774570/AADHAAR ENABLED PMT,MIXED,DR/CR,HIGH
49,AEPS,CUSTOMER SERVICE POINT AEPS 258888432548,MIXED,DR/CR,HIGH
50,AEPS,MICRO ATM WDL 129025447995 8846214915,ATM,DR,HIGH
51,AEPS,AEPS TRANS/422393629008/BC/9045919605,MIXED,DR/CR,HIGH
52,AEPS,AADHAAR PAY WDL 266811286482,ATM,DR,HIGH
53,AEPS,NPCI/AEPS/386854261063/BIOMETRIC,MIXED,DR/CR,HIGH
54,AEPS,AEPS/564222746345/CSP AGENT/CASH,MIXED,DR/CR,HIGH
55,AEPS,BANK MITRA/989606109766/CASH DISBURSE,MIXED,CR,HIGH
56,AEPS,AEPS DR 733018083575 MICRO ATM WDL,ATM,DR,HIGH
57,ATM,ATM WDL 606876353819 XX7115,ATM,DR,LOW
58,ATM,ATM CASH/333152181334/NFS,ATM,DR/CR,LOW
59,ATM,ATM WITHDRAWAL 075566886992 VISA,ATM,DR,LOW
60,ATM,NFS ATM/208707221484/CASH DISPENSER,ATM,DR/CR,LOW
61,ATM,CASH WDL 406080043462 ATM UNION,ATM,DR,LOW
62,ATM,RUPAY ATM WDL 364327836158,ATM,DR,LOW
63,ATM,VISA ATM/221743804779/CASH,ATM,DR/CR,LOW
64,ATM,ATM TRANS 254855470252 OFFUS,ATM,DR/CR,LOW
65,ATM,ATM DR 649946524522 KOTAK BRANCH,ATM,DR/CR,LOW
66,ATM,CASH DISPENSER/831611589521/WDL,ATM,DR,LOW
67,ATM,ATM/829368739751/CARDLESS WDL,ATM,DR,LOW
68,ATM,NFS/365083225635/ATM CASH/SBI,ATM,DR/CR,LOW
69,ATM,ATM WDL CHARGES 533255176802,ATM,DR,LOW
70,ATM,OFF-US ATM 013562858396 SBI,ATM,DR/CR,LOW
71,ATM,ATM CASH WDL 406460574223 RUPAY,ATM,DR,LOW
72,ATM,VISA ATM CASH 116490788976 XX8957,ATM,DR/CR,LOW
73,MERCHANT_POS,POS/918447944208/MERCHANT/VISA,POS,DR/CR,LOW
74,MERCHANT_POS,EPOS TXN 140141259332 MERCHANT,POS,DR/CR,LOW
75,MERCHANT_POS,POS PURCHASE 925038715637 BOB CARD,POS,DR/CR,LOW
76,MERCHANT_POS,CARD SWIPE 502834121030 MERCHANT POS,POS,DR/CR,LOW
77,MERCHANT_POS,VISA POS/454713472874/PURCHASE,POS,DR/CR,LOW
78,MERCHANT_POS,MASTER POS 388297794065 MERCHANT,POS,DR/CR,LOW
79,MERCHANT_POS,RUPAY POS/727614418968/SWIPE,POS,DR/CR,LOW
80,MERCHANT_POS,POS DR 438612828299 MERCHANT OUTLET,POS,DR/CR,LOW
81,MERCHANT_POS,EPOS/815949607575/CARD PRESENT,POS,DR/CR,LOW
82,MERCHANT_POS,POS TXN 986724576522 VISA XX1688,POS,DR/CR,LOW
83,MERCHANT_POS,MERCHANT POS/498604883999/RUPAY,POS,DR/CR,LOW
84,MERCHANT_POS,CARD SWIPE DR 035615674235 MERCHANT,POS,DR/CR,LOW
85,MERCHANT_POS,POS/752573830616/MASTERCARD/PURCHASE,POS,DR/CR,LOW
86,MERCHANT_POS,VISA DEBIT POS 591202116953,POS,DR,LOW
87,MERCHANT_POS,POS PURCHASE DR 463830273106 OUTLET,POS,DR/CR,LOW
88,MERCHANT_POS,RUPAY DEBIT SWIPE 032463684533 MERCHANT,POS,DR,LOW
89,ECOMMERCE,UPI/782708162619/AMAZON/PAY/9170681917,UPI,DR/CR,LOW
90,ECOMMERCE,AMAZON RETAIL 064005758166 ORDER,MIXED,DR/CR,LOW
91,ECOMMERCE,AMZN MKTP 707765138062 PURCHASE,MIXED,DR/CR,LOW
92,ECOMMERCE,UPI/295754809013/FLIPKART/9134752577/FKART,UPI,DR/CR,LOW
93,ECOMMERCE,FLIPKART INTERNET 924376182529 ORDER,MIXED,DR/CR,LOW
94,ECOMMERCE,FKART/736667683546/PURCHASE,MIXED,DR/CR,LOW
95,ECOMMERCE,UPI/897875915846/MYNTRA/8503583560,UPI,DR/CR,LOW
96,ECOMMERCE,MYNTRA DESIGNS 521888999664 ORDER,MIXED,DR/CR,LOW
97,ECOMMERCE,AJIO/109269522383/ECOMM PURCHASE,MIXED,DR/CR,LOW
98,ECOMMERCE,UPI/636776071006/MEESHO/9916658599,UPI,DR/CR,LOW
99,ECOMMERCE,MEESHO 791735380189 ORDER PAYMENT,MIXED,DR/CR,LOW
100,ECOMMERCE,SHOPSY/460821605252/ORDER,MIXED,DR/CR,LOW
101,ECOMMERCE,SNAPDEAL/199388620883/PURCHASE,MIXED,DR/CR,LOW
102,ECOMMERCE,NYKAA FASHION 429145715800 ORDER,MIXED,DR/CR,LOW
103,ECOMMERCE,FIRSTCRY/085245091050/PURCHASE ORDER,MIXED,CR,LOW
104,ECOMMERCE,NEFT/248274466699/AMAZON SELLER SERVICES/ORDER,NEFT,DR/CR,LOW
105,ECOMMERCE,UPI/312344240748/AJIO/ajio@upi/RLFL,UPI,DR/CR,LOW
106,ECOMMERCE,MEESHO UPI 379139628599 9689134391,MIXED,DR/CR,LOW
107,FOOD_DELIVERY,UPI/125873304309/SWIGGY/8502059863,UPI,DR/CR,LOW
108,FOOD_DELIVERY,SWIGGY ORDER 723009773567 FOOD,MIXED,DR/CR,LOW
109,FOOD_DELIVERY,SWIGGY INSTAMART 633272696570,MIXED,DR/CR,LOW
110,FOOD_DELIVERY,UPI/110363233111/ZOMATO/8728963989,UPI,DR/CR,LOW
111,FOOD_DELIVERY,ZOMATO ORDER 968033820967 FOOD,MIXED,DR/CR,LOW
112,FOOD_DELIVERY,BLINKIT/503876510916/GROCERY ORDER,MIXED,DR/CR,LOW
113,FOOD_DELIVERY,UPI/266064763189/BLINKIT/8893323443,UPI,DR/CR,LOW
114,FOOD_DELIVERY,ZEPTO/165164648765/QUICK COMMERCE,MIXED,DR/CR,LOW
115,FOOD_DELIVERY,UPI/543343911618/ZEPTO/8518206034,UPI,DR/CR,LOW
116,FOOD_DELIVERY,EATCLUB/891170628705/MEAL ORDER,MIXED,DR/CR,LOW
117,FOOD_DELIVERY,UPI/076533690261/DOMINOS/8694997045,UPI,DR/CR,LOW
118,FOOD_DELIVERY,DOMINOS PIZZA 548003982025 ORDER,MIXED,DR/CR,LOW
119,FOOD_DELIVERY,PIZZA HUT/399999214457/ORDER,MIXED,DR/CR,LOW
120,FOOD_DELIVERY,UPI/940570047604/PIZZAHUT/8511431128,UPI,DR/CR,LOW
121,FOOD_DELIVERY,SWIGGY BUNDL TECH 644974684718,MIXED,DR/CR,LOW
122,FOOD_DELIVERY,ZOMATO MEDIA 996606466341 FOOD DELIV,MIXED,DR/CR,LOW
123,MOBILITY,UPI/872354733286/UBER/9702846257,UPI,DR/CR,LOW
124,MOBILITY,UBER INDIA 427600905983 RIDE,MIXED,DR/CR,LOW
125,MOBILITY,UBER BV 321523924874 TRIP,MIXED,DR/CR,LOW
126,MOBILITY,UPI/482389534663/OLA/8519184796,UPI,DR/CR,LOW
127,MOBILITY,OLA CABS 674841396882 RIDE,MIXED,DR/CR,LOW
128,MOBILITY,ANI TECHNOLOGIES 917260522761 OLA,MIXED,DR/CR,LOW
129,MOBILITY,UPI/182354780479/RAPIDO/8539219386,UPI,DR/CR,LOW
130,MOBILITY,RAPIDO BIKE 534404604325 RIDE,MIXED,DR/CR,LOW
131,MOBILITY,BLUSMART/912016637892/EV RIDE,MIXED,DR/CR,LOW
132,MOBILITY,UPI/140477229886/BLUSMART/9138706436,UPI,DR/CR,LOW
133,MOBILITY,NAMMA YATRI 525108818563 AUTO,MIXED,DR/CR,LOW
134,MOBILITY,UPI/441266393982/NAMYATRI/9621959333,UPI,DR/CR,LOW
135,MOBILITY,UBER MOTO 863901377166 TRIP,MIXED,DR/CR,LOW
136,MOBILITY,OLA ELECTRIC 813221514512 RIDE,MIXED,DR/CR,LOW
137,MOBILITY,RAPIDO AUTO 415748424121 TRIP,MIXED,DR/CR,LOW
138,MOBILITY,UPI/732326914612/OLARIDE/9858625951,UPI,DR/CR,LOW
139,LOAN_APP,NEFT/405588369891/KREDITBEE/LOAN DISBURSE,NEFT,CR,HIGH
140,LOAN_APP,KREDITBEE 477038108220 LOAN CR,MIXED,CR,HIGH
141,LOAN_APP,IMPS/992167815860/MONEYVIEW LOANS/DISBURSE,IMPS,CR,HIGH
142,LOAN_APP,MONEYVIEW 357199251002 LOAN CREDIT,MIXED,CR,HIGH
143,LOAN_APP,NEFT/932908577500/CASHE/PERSONAL LOAN,NEFT,DR/CR,HIGH
144,LOAN_APP,CASHE LOAN 581586735788 DISBURSE,MIXED,CR,HIGH
145,LOAN_APP,FIBE/117037544882/LOAN DISBURSE,MIXED,CR,HIGH
146,LOAN_APP,EARLYSALARY 287897203725 LOAN,MIXED,DR/CR,HIGH
147,LOAN_APP,NAVI LOAN 363031940451 CREDIT,MIXED,CR,HIGH
148,LOAN_APP,IMPS/004687490156/NAVI FINSERV/LOAN,IMPS,DR/CR,HIGH
149,LOAN_APP,LAZYPAY/578195562050/BUY NOW PAY LATER,MIXED,DR/CR,HIGH
150,LOAN_APP,MPOKKET 314971610365 STUDENT LOAN,MIXED,DR/CR,HIGH
151,LOAN_APP,KISSHT/823637532053/EMI LOAN,MIXED,DR/CR,HIGH
152,LOAN_APP,SNAPMINT 747884377908 CREDIT,MIXED,CR,HIGH
153,LOAN_APP,BRANCH/453198678050/PERSONAL LOAN,MIXED,DR/CR,HIGH
154,LOAN_APP,NEFT/314147657976/FIBE FORMERLY EARLY SALARY,NEFT,DR/CR,HIGH
155,LOAN_APP,KREDITBEE EMI NACH 605692997354,NACH/ECS,DR/CR,HIGH
156,LOAN_APP,MONEYVIEW EMI AUTO DEBIT 969908073669,MIXED,DR,HIGH
157,NBFC,NEFT/549742177687/BAJAJ FINANCE/EMI,NEFT,DR/CR,LOW
158,NBFC,BAJAJ FINANCE EMI 788567480552 NACH,NACH/ECS,DR/CR,LOW
159,NBFC,NACH/094581903913/BAJAJ FINANCE LTD/AUTO,NACH/ECS,DR/CR,LOW
160,NBFC,NEFT/719220485655/TATA CAPITAL/LOAN EMI,NEFT,DR/CR,LOW
161,NBFC,TATA CAPITAL 336912291635 EMI,MIXED,DR/CR,LOW
162,NBFC,L&T FINANCE 994736561060 EMI NACH,NACH/ECS,DR/CR,LOW
163,NBFC,NEFT/451136285331/LT FINANCE/EMI,NEFT,DR/CR,LOW
164,NBFC,SHRIRAM FINANCE 220289252692 EMI,MIXED,DR/CR,LOW
165,NBFC,NACH/954167516032/SHRIRAM TRANSPORT/EMI,NACH/ECS,DR/CR,LOW
166,NBFC,MUTHOOT FINANCE 308716652558 GOLD LOAN,MIXED,DR/CR,LOW
167,NBFC,NEFT/094779705111/MUTHOOT FINCORP/REPAYMENT,NEFT,DR/CR,LOW
168,NBFC,MANAPPURAM GOLD LOAN 663653096181,MIXED,DR/CR,LOW
169,NBFC,CHOLAMANDALAM 544526772492 VEHICLE LOAN,MIXED,DR/CR,LOW
170,NBFC,CHOLA INVEST 929808209112 EMI NACH,NACH/ECS,DR/CR,LOW
171,NBFC,NACH/958267879833/CHOLAMANDALAM/AUTO DEBIT,NACH/ECS,DR,LOW
172,NBFC,BAJAJ FINSERV EMI 993914044508 ECS,NACH/ECS,DR/CR,LOW
173,SALARY,SALARY 067462139828 YES PAYROLL,MIXED,DR/CR,LOW
174,SALARY,SAL CR 140327367036 MONTHLY PAY,MIXED,CR,LOW
175,SALARY,NEFT/544932502844/PAYROLL/SALARY CREDIT,NEFT,CR,LOW
176,SALARY,SALARY CREDIT 813327045563 EMPLOYEE PAY,MIXED,CR,LOW
177,SALARY,SAL/182986097227/MONTHLY SALARY,MIXED,DR/CR,LOW
178,SALARY,PAYROLL 540160142906 SAL CR,MIXED,CR,LOW
179,SALARY,SALARY DR 160152705954 BATCH PAYROLL,MIXED,DR/CR,LOW
180,SALARY,WAGES CREDIT 887739669334 MONTHLY,MIXED,CR,LOW
181,SALARY,EMPLOYEE PAY 936483589883 SALARY,MIXED,DR/CR,LOW
182,SALARY,PAYSLIP/697911624529/MONTHLY SAL,MIXED,DR/CR,LOW
183,SALARY,NEFT/670990715669/SAL/EMP PAYROLL,NEFT,DR/CR,LOW
184,SALARY,SALARY 827442454151 MONTHLY PAY CREDIT,MIXED,CR,LOW
185,SALARY,SAL CREDIT 400005101793 PAYROLL BATCH,MIXED,CR,LOW
186,SALARY,MONTHLY SALARY CR 723618791766,MIXED,CR,LOW
187,SALARY,PAYROLL DR 811395306173 SAL DISBURSEMENT,MIXED,CR,LOW
188,SALARY,NEFT/907882936197/MONTHLY WAGES/SALARY,NEFT,DR/CR,LOW
189,CHEQUE,CHQ NO 004521 DEP 214962873738,CTS/CHQ,DR/CR,LOW
190,CHEQUE,CHEQUE DEPOSIT 469451289203 CTS CLG,POS,DR/CR,LOW
191,CHEQUE,CTS/391971994483/CHEQUE CLEARING,CTS/CHQ,DR/CR,LOW
192,CHEQUE,CHQ DEP 956619490982 CLG,CTS/CHQ,DR/CR,LOW
193,CHEQUE,CHEQUE RETURN 552396068416 INWARD,CTS/CHQ,CR,LOW
194,CHEQUE,CHQ BOUNCE DR 602242363647 CHARGES,CTS/CHQ,DR/CR,LOW
195,CHEQUE,RETURN CHQ 695121663630 INSUFFICIENT FUNDS,CTS/CHQ,DR/CR,LOW
196,CHEQUE,CTS CLEARING CHQ 414881758758,CTS/CHQ,DR/CR,LOW
197,CHEQUE,CHQ NO 003812 CLG 611886059150,CTS/CHQ,DR/CR,LOW
198,CHEQUE,CHEQUE CLEARING 226450850266 OUTWARD,CTS/CHQ,DR/CR,LOW
199,CHEQUE,CHQ DEP CTS 086235345265 BRANCH,CTS/CHQ,DR/CR,LOW
200,CHEQUE,CHEQUE BOUNCE CHARGES 615501742374,CTS/CHQ,DR/CR,LOW
201,CHEQUE,INWARD CHQ 658251715572 CTS CLG,CTS/CHQ,CR,LOW
202,CHEQUE,CHQ NO 005690 974014239247 CLG,CTS/CHQ,DR/CR,LOW
203,CHEQUE,CTS/982303869353/OUTWARD CHEQUE CLG,CTS/CHQ,DR/CR,LOW
204,CHEQUE,RETURN CHQ CHARGES 548174861524 DR,CTS/CHQ,DR/CR,LOW
205,AUTO_DEBIT,NACH DR 317144403807 EMI,NACH/ECS,DR,LOW
206,AUTO_DEBIT,ENACH/170128096069/AUTO DEBIT/EMI,NACH/ECS,DR,LOW
207,AUTO_DEBIT,NACH/185096098582/MANDATE/LOAN EMI,NACH/ECS,DR/CR,LOW
208,AUTO_DEBIT,SI DR 623074279658 STANDING INSTRUCTION,MIXED,DR,LOW
209,AUTO_DEBIT,ECS DR 181053601793 AUTO PAY,NACH/ECS,DR,LOW
210,AUTO_DEBIT,ACH DR 421673820196 MANDATE,NACH/ECS,DR,LOW
211,AUTO_DEBIT,AUTO DEBIT 075151115184 NACH MANDATE,NACH/ECS,DR,LOW
212,AUTO_DEBIT,ENACH DEBIT 808398494782 SI,NACH/ECS,DR,LOW
213,AUTO_DEBIT,NACH DR 879575625618 INSURANCE PREMIUM,NACH/ECS,DR,LOW
214,AUTO_DEBIT,SI EXECUTE 145336225226 RECURRING,MIXED,DR/CR,LOW
215,AUTO_DEBIT,ECS/950910775853/UTILITY NACH,NACH/ECS,DR/CR,LOW
216,AUTO_DEBIT,MANDATE DR 770417520292 AUTO DEBIT,MIXED,DR,LOW
217,AUTO_DEBIT,NACH BOUNCE 477281931945 RETURN,NACH/ECS,DR/CR,LOW
218,AUTO_DEBIT,AUTO DEBIT RETURN 248176864947 NACH,NACH/ECS,DR,LOW
219,AUTO_DEBIT,ENACH/131429905680/NACH DEBIT/LOAN,NACH/ECS,DR,LOW
220,AUTO_DEBIT,ACH MANDATE 055986019062 PERIODIC,NACH/ECS,DR/CR,LOW
221,GOVERNMENT_PAYMENT,GST PMT 377587540159 GSTN CHALLAN,MIXED,DR/CR,LOW
222,GOVERNMENT_PAYMENT,CBIC GST/371536241565/PMT-06,MIXED,DR/CR,LOW
223,GOVERNMENT_PAYMENT,INCOME TAX CHALLAN 866700047423 OLTAS,MIXED,DR/CR,LOW
224,GOVERNMENT_PAYMENT,TDS PAYMENT 426199808573 OLTAS,MIXED,DR/CR,LOW
225,GOVERNMENT_PAYMENT,ADVANCE TAX 976708185762 ITNS-280,MIXED,DR/CR,LOW
226,GOVERNMENT_PAYMENT,CUSTOM DUTY 614696449947 ICEGATE,MIXED,DR/CR,LOW
227,GOVERNMENT_PAYMENT,CHALLAN 280 018965351490 INCOME TAX,MIXED,DR/CR,LOW
228,GOVERNMENT_PAYMENT,EPFO PAYMENT 830368592813 PF,MIXED,DR/CR,LOW
229,GOVERNMENT_PAYMENT,ESIC CHALLAN 745424026887 CONTRIBUTION,MIXED,DR/CR,LOW
230,GOVERNMENT_PAYMENT,GST PAYMENT 503704274387 GSTN,MIXED,DR/CR,LOW
231,GOVERNMENT_PAYMENT,OLTAS/323204569440/TDS CHALLAN,MIXED,DR/CR,LOW
232,GOVERNMENT_PAYMENT,NSDL TDS 723554653257 CHALLAN 281,MIXED,DR/CR,LOW
233,GOVERNMENT_PAYMENT,ESIC/929786078961/CONTRIBUTION,MIXED,DR/CR,LOW
234,GOVERNMENT_PAYMENT,EPFO/139885588698/PROVIDENT FUND,MIXED,DR/CR,LOW
235,GOVERNMENT_PAYMENT,GST PMT-07 063342105719 REFUND,MIXED,DR/CR,LOW
236,GOVERNMENT_PAYMENT,CBIC/401071556520/CUSTOM DUTY CHALLAN,MIXED,DR/CR,LOW
237,GST,GSTIN 824697728589 PAYMENT PMT-06,MIXED,DR/CR,LOW
238,GST,GST PMT 533689945608 CGST,MIXED,DR/CR,LOW
239,GST,GST REFUND 537355360023 GSTN CR,MIXED,CR,LOW
240,GST,IGST PAYMENT 296221510140 GSTN,MIXED,DR/CR,LOW
241,GST,SGST/422541991466/CHALLAN PMT,MIXED,DR/CR,LOW
242,GST,EWAY BILL 811611299983 GST,MIXED,DR/CR,LOW
243,GST,ITC REFUND 812943927696 IGST CR,MIXED,CR,LOW
244,GST,GSTN/107950688203/PMT-06/CGST,MIXED,DR/CR,LOW
245,GST,GST PMT CGST 606825282398,MIXED,DR/CR,LOW
246,GST,INPUT TAX CREDIT 464259682775 REFUND,MIXED,CR,LOW
247,GST,GST PAYMENT SGST 376367961812,MIXED,DR/CR,LOW
248,GST,IGST 541605407516 EXPORT REFUND,MIXED,DR/CR,LOW
249,GST,CBIC GSTN 398882408679 PAYMENT,MIXED,DR/CR,LOW
250,GST,E-WAY/934894049265/GST BILL,MIXED,DR/CR,LOW
251,GST,CGST SGST IGST PAYMENT 271566808147,MIXED,DR/CR,LOW
252,GST,GST PMT-07 REFUND 989510248419 CR,MIXED,CR,LOW
253,BROKER,UPI/286849631395/ZERODHA/9791472062,UPI,DR/CR,LOW
254,BROKER,ZERODHA BROKING 711950338019 FUND ADD,MIXED,DR/CR,LOW
255,BROKER,NEFT/066892123259/ZERODHA BROKING/MARGIN,NEFT,DR/CR,LOW
256,BROKER,UPI/682694749803/GROWW/8872040383,UPI,DR/CR,LOW
257,BROKER,GROWW INVEST 770895901036 FUND,MIXED,DR/CR,LOW
258,BROKER,NEFT/496805363522/NEXTBILLION TECH/GROWW,NEFT,DR/CR,LOW
259,BROKER,UPSTOX/619694112981/FUND TRANSFER,MIXED,DR/CR,LOW
260,BROKER,RKSV SEC UPSTOX 150821250537,MIXED,DR/CR,LOW
261,BROKER,ANGELONE/365367880268/MARGIN FUND,MIXED,DR/CR,LOW
262,BROKER,ANGEL BROKING 020753335064 FUND,MIXED,DR/CR,LOW
263,BROKER,DHAN/043360200278/TRADING FUND,MIXED,DR/CR,LOW
264,BROKER,PAYTM MONEY 347631714972 INVEST,MIXED,DR/CR,LOW
265,BROKER,ICICI DIRECT 430537366544 FUND,MIXED,DR/CR,LOW
266,BROKER,KOTAK SEC 497323350189 MARGIN,MIXED,DR/CR,LOW
267,BROKER,MOTILAL OSWAL 793066421897 TRADE,MIXED,DR/CR,LOW
268,BROKER,SHAREKHAN 599364051645 FUND ADD,MIXED,DR/CR,LOW
269,MUTUAL_FUND,SIP DEBIT 039491142348 MF,MIXED,DR,LOW
270,MUTUAL_FUND,MUTUAL FUND SIP 754739105223 HDFC MF,MIXED,DR/CR,LOW
271,MUTUAL_FUND,HDFC MF SIP 918227989663 NACH DR,NACH/ECS,DR,LOW
272,MUTUAL_FUND,ICICI PRU MF 386783493117 SIP,MIXED,DR/CR,LOW
273,MUTUAL_FUND,SBI MF SIP 210508290717 AUTO DEBIT,MIXED,DR,LOW
274,MUTUAL_FUND,NIPPON MF 639907747804 SIP INST,MIXED,DR/CR,LOW
275,MUTUAL_FUND,UTI MF SIP 126718486216 DR,MIXED,DR/CR,LOW
276,MUTUAL_FUND,ADITYA BIRLA MF 454764705847 SIP,MIXED,DR/CR,LOW
277,MUTUAL_FUND,MF REDEMPTION 528421559424 CREDIT,MIXED,CR,LOW
278,MUTUAL_FUND,MUTUAL FUND REDEEM 335644876082 CR,MIXED,CR,LOW
279,MUTUAL_FUND,SIP NACH 746300568373 AXIS MF,NACH/ECS,DR/CR,LOW
280,MUTUAL_FUND,FRANKLIN MF 819838605195 SIP DR,MIXED,DR/CR,LOW
281,MUTUAL_FUND,KOTAK MF SIP 207039577573,MIXED,DR/CR,LOW
282,MUTUAL_FUND,NEFT/859606015278/HDFC AMC/MF PURCHASE,NEFT,DR/CR,LOW
283,MUTUAL_FUND,MF DIVIDEND CR 770937142173 HDFC,MIXED,CR,LOW
284,MUTUAL_FUND,SBI MF REDEMPTION 216603146118 CR,MIXED,CR,LOW
285,INSURANCE,LIC PREMIUM 978842674810 NACH DR,NACH/ECS,DR,LOW
286,INSURANCE,LIC OF INDIA 327318374439 POLICY,MIXED,DR/CR,LOW
287,INSURANCE,NEFT/558698840176/LIC OF INDIA/PREMIUM,NEFT,DR/CR,LOW
288,INSURANCE,ICICI PRU LIFE 046683298923 PREMIUM,MIXED,DR/CR,LOW
289,INSURANCE,HDFC LIFE 592388254294 INSURANCE PREMIUM,MIXED,DR/CR,LOW
290,INSURANCE,MAX LIFE 582625781748 PREMIUM DR,MIXED,DR/CR,LOW
291,INSURANCE,SBI LIFE 546203325842 NACH PREMIUM,NACH/ECS,DR/CR,LOW
292,INSURANCE,BAJAJ ALLIANZ 711885548479 PREMIUM,MIXED,DR/CR,LOW
293,INSURANCE,TATA AIA 868925776444 PREMIUM,MIXED,DR/CR,LOW
294,INSURANCE,STAR HEALTH 591137796298 PREMIUM,MIXED,DR/CR,LOW
295,INSURANCE,CARE HEALTH INSURANCE 829767244844,MIXED,DR/CR,LOW
296,INSURANCE,NEW INDIA INSURANCE 761778601799 PREMIUM,MIXED,DR/CR,LOW
297,INSURANCE,ORIENTAL INS 445746772539 PREMIUM,MIXED,DR/CR,LOW
